iter	Passed	Remaining
0	3	752
1	6	689
2	10	663
3	13	653
4	16	643
5	19	629
6	22	623
7	25	613
8	28	603
9	31	595
10	34	598
11	37	588
12	41	594
13	44	586
14	46	578
15	50	579
16	53	571
17	55	564
18	58	558
19	61	550
20	64	547
21	67	542
22	70	539
23	72	533
24	75	528
25	77	521
26	80	517
27	83	512
28	86	507
29	88	502
30	91	497
31	93	493
32	96	489
33	99	487
34	102	482
35	104	477
36	107	473
37	109	468
38	112	464
39	114	459
40	117	455
41	120	451
42	122	448
43	125	444
44	127	440
45	131	439
46	134	436
47	136	433
48	139	430
49	142	426
50	144	422
51	147	419
52	149	415
53	152	413
54	155	409
55	158	406
56	160	403
57	163	400
58	166	397
59	168	394
60	171	390
61	172	383
62	174	380
63	177	377
64	178	370
65	181	367
66	183	364
67	186	361
68	188	358
69	191	355
70	194	353
71	196	350
72	199	347
73	202	344
74	204	341
75	207	338
76	210	335
77	212	332
78	215	329
79	217	326
80	220	324
81	223	321
82	226	319
83	229	316
84	231	313
85	234	310
86	236	307
87	239	304
88	241	301
89	244	298
90	247	296
91	250	293
92	252	290
93	255	288
94	258	285
95	260	282
96	263	279
97	265	276
98	268	273
99	271	271
100	273	268
101	276	265
102	278	262
103	281	260
104	284	257
105	287	254
106	289	251
107	292	249
108	294	246
109	297	243
110	300	240
111	302	237
112	305	235
113	307	232
114	310	229
115	313	226
116	316	224
117	319	222
118	322	219
119	325	216
120	328	214
121	330	211
122	333	208
123	335	205
124	338	203
125	341	200
126	343	197
127	346	194
128	349	192
129	351	189
130	354	186
131	357	184
132	359	181
133	362	178
134	364	175
135	367	172
136	370	170
137	373	167
138	375	164
139	378	162
140	381	159
141	383	156
142	386	154
143	388	151
144	391	148
145	394	145
146	396	142
147	399	140
148	402	137
149	405	135
150	407	132
151	410	129
152	412	126
153	415	124
154	418	121
155	421	118
156	423	115
157	426	113
158	434	112
159	437	109
160	439	106
161	442	103
162	444	100
163	447	98
164	450	95
165	452	92
166	455	89
167	457	87
168	460	84
169	463	81
170	466	79
171	468	76
172	471	73
173	474	70
174	477	68
175	480	65
176	482	62
177	485	60
178	488	57
179	490	54
180	494	51
181	496	49
182	499	46
183	502	43
184	505	40
185	508	38
186	510	35
187	513	32
188	516	30
189	518	27
190	521	24
191	524	21
192	527	19
193	529	16
194	532	13
195	534	10
196	536	8
197	538	5
198	541	2
199	543	0
